date,package,count
2018-12-05,agricolae,483
2018-12-06,agricolae,573
2018-12-07,agricolae,354
2018-12-08,agricolae,201
2018-12-09,agricolae,230
2018-12-10,agricolae,484
2018-12-11,agricolae,495
2018-12-12,agricolae,505
2018-12-13,agricolae,381
2018-12-14,agricolae,352
2018-12-15,agricolae,205
2018-12-16,agricolae,215
2018-12-17,agricolae,317
2018-12-18,agricolae,451
2018-12-19,agricolae,546
2018-12-20,agricolae,495
2018-12-21,agricolae,322
2018-12-22,agricolae,110
2018-12-23,agricolae,130
2018-12-24,agricolae,197
2018-12-25,agricolae,134
2018-12-26,agricolae,205
2018-12-27,agricolae,174
2018-12-28,agricolae,179
2018-12-29,agricolae,124
2018-12-30,agricolae,129
2018-12-31,agricolae,143
2019-01-01,agricolae,150
2019-01-02,agricolae,286
2019-01-03,agricolae,273
2019-01-04,agricolae,276
2019-01-05,agricolae,173
2019-01-06,agricolae,186
2019-01-07,agricolae,536
2019-01-08,agricolae,910
2019-01-09,agricolae,772
2019-01-10,agricolae,611
2019-01-11,agricolae,490
2019-01-12,agricolae,284
2019-01-13,agricolae,274
2019-01-14,agricolae,547
2019-01-15,agricolae,670
2019-01-16,agricolae,564
2019-01-17,agricolae,549
2019-01-18,agricolae,567
2019-01-19,agricolae,250
2019-01-20,agricolae,217
2019-01-21,agricolae,574
2019-01-22,agricolae,632
2019-01-23,agricolae,691
2019-01-24,agricolae,669
2019-01-25,agricolae,458
2019-01-26,agricolae,241
2019-01-27,agricolae,285
2019-01-28,agricolae,496
2019-01-29,agricolae,453
2019-01-30,agricolae,462
2019-01-31,agricolae,461
2019-02-01,agricolae,515
2019-02-02,agricolae,183
2019-02-03,agricolae,209
2019-02-04,agricolae,486
2019-02-05,agricolae,553
2019-02-06,agricolae,549
2019-02-07,agricolae,535
2019-02-08,agricolae,419
2019-02-09,agricolae,193
2019-02-10,agricolae,217
2019-02-11,agricolae,553
2019-02-12,agricolae,562
2019-02-13,agricolae,663
2019-02-14,agricolae,606
2019-02-15,agricolae,528
2019-02-16,agricolae,247
2019-02-17,agricolae,272
2019-02-18,agricolae,548
2019-02-19,agricolae,692
2019-02-20,agricolae,657
2019-02-21,agricolae,557
2019-02-22,agricolae,721
2019-02-23,agricolae,310
2019-02-24,agricolae,312
2019-02-25,agricolae,695
2019-02-26,agricolae,803
2019-02-27,agricolae,732
2019-02-28,agricolae,683
2019-03-01,agricolae,720
2019-03-02,agricolae,232
2019-03-03,agricolae,316
2019-03-04,agricolae,615
2019-03-05,agricolae,639
2019-03-06,agricolae,723
2019-03-07,agricolae,627
2019-03-08,agricolae,576
2019-03-09,agricolae,312
2019-03-10,agricolae,296
2019-03-11,agricolae,609
2019-03-12,agricolae,672
2019-03-13,agricolae,812
2019-03-14,agricolae,586
2019-03-15,agricolae,680
2019-03-16,agricolae,302
2019-03-17,agricolae,289
2019-03-18,agricolae,768
2019-03-19,agricolae,695
2019-03-20,agricolae,743
2019-03-21,agricolae,777
2019-03-22,agricolae,713
2019-03-23,agricolae,310
2019-03-24,agricolae,380
2019-03-25,agricolae,818
2019-03-26,agricolae,713
2019-03-27,agricolae,864
2019-03-28,agricolae,765
2019-03-29,agricolae,674
2019-03-30,agricolae,345
2019-03-31,agricolae,391
2019-04-01,agricolae,871
2019-04-02,agricolae,808
2019-04-03,agricolae,847
2019-04-04,agricolae,755
2019-04-05,agricolae,1143
2019-04-06,agricolae,493
2019-04-07,agricolae,453
2019-04-08,agricolae,962
2019-04-09,agricolae,957
2019-04-10,agricolae,953
2019-04-11,agricolae,898
2019-04-12,agricolae,738
2019-04-13,agricolae,414
2019-04-14,agricolae,388
2019-04-15,agricolae,767
2019-04-16,agricolae,683
2019-04-17,agricolae,914
2019-04-18,agricolae,549
